성과사업명,가중논문수,가중특허수,Y_총가중성과
연구중심병원육성(R&D),651.922619047619,859.848985,1511.771604047619
방사선기술개발사업,728.9765873015873,746.9714285714285,1475.9480158730157
국가과학기술연구회연구운영비지원(주요사업비),371.9920634920635,1082.9666666666667,1454.9587301587303
STEAM연구(R&D),514.3088095238095,932.549985,1446.8587945238096
원자력기술개발사업(R&D),683.59,745.6833333333333,1429.2733333333333
고부가가치식품기술개발(R&D),351.49285714285713,1069.6166603333334,1421.1095174761904
글로벌탑환경기술개발사업(R&D),361.59999999999997,1050.2499996666666,1411.8499996666665
암연구소및국가암관리사업본부운영(R&D)(주요사업비),967.4499999999999,437.95,1405.3999999999999
로봇산업핵심기술개발(R&D),247.76309523809522,1150.6566666666668,1398.419761904762
지역특화산업육성+(R&D),31.18333333333333,1357.6333303333333,1388.8166636666667
중소기업상용화기술개발(R&D),0.0,1381.1666666666667,1381.1666666666667
경제협력권산업육성,80.51666666666667,1296.5833333333333,1377.1
산업기술국제협력(R&D),202.1490476190476,1148.6150396190476,1350.7640872380953
산학연협력고도화지원(R&D),0.0,1336.1166626666666,1336.1166626666666
한국전자통신연구원연구운영비지원(주요사업비),136.75,1184.2666666666667,1321.0166666666667
미래소재디스커버리지원,525.660873015873,779.7240476190476,1305.3849206349205
농생명산업기술개발(R&D),416.88,878.1499976666666,1295.0299976666665
한국전자통신연구원연구운영비지원(R&D)(주요사업비),143.86666666666667,1123.166663,1267.0333296666668
한국전기연구원연구운영비지원,245.24523809523808,1018.3333333333334,1263.5785714285714
자동차산업기술개발,154.53333333333333,1078.242857142857,1232.7761904761903
첨단의료기술개발(R&D),448.0428571428571,780.1369477619047,1228.1798049047618
원자력핵심기술개발(R&D),233.3845238095238,993.3690436190476,1226.7535674285714
문화기술연구개발(R&D),76.45,1129.4999966666667,1205.9499966666667
우수기술연구센터(ATC),59.25,1137.8833333333334,1197.1333333333334
임상연구인프라조성,752.2107142857143,430.27142857142854,1182.482142857143
한국표준과학연구원연구운영비지원,527.7373376623376,646.45,1174.1873376623375
한국생명공학연구원연구운영비지원,526.925,631.0714285714286,1157.9964285714286
한국기계연구원연구운영비지원,226.37619047619046,930.0,1156.3761904761905
리더연구자지원,781.4929523809524,369.92619047619047,1151.4191428571428
자동차산업핵심기술개발(R&D),139.53333333333333,1002.7055555555555,1142.2388888888888
신재생에너지융합핵심기술개발(전력),227.72063492063492,913.4166666666666,1141.1373015873016
철도기술연구사업,59.83333333333333,1072.0,1131.8333333333333
연구개발특구육성,27.109523809523807,1088.65,1115.759523809524
한국생명공학연구원연구운영비지원(R&D)(주요사업비),540.6031746031745,568.6184924619047,1109.2216670650791
"방송통신산업기술개발(R&D,정보화)",125.89285714285714,974.207657,1100.1005141428573
지자체대학협력기반지역혁신사업,0.0,1099.181746031746,1099.181746031746
방사선기술개발사업(R&D),518.3298412698413,576.7698361587302,1095.0996774285713
농업기초기반연구,285.8666666666667,794.1666666666666,1080.0333333333333
"글로벌중견기업육성프로젝트지원(중기부,산업부)",45.53333333333333,1030.1666666666667,1075.7
기계산업핵심기술개발사업(R&D),108.28333333333333,954.7833333333333,1063.0666666666666
산학협력고도화지원,0.0,1061.4266233766234,1061.4266233766234
"범부처전주기의료기기연구개발(산업부,복지부,과기부)",320.2413492063492,737.7611904761904,1058.0025396825397
에너지인력양성사업(에특),568.7833333333333,476.80476190476185,1045.588095238095
농업과학기반기술연구(R&D),310.8833333333333,734.0,1044.8833333333332
뇌과학원천기술개발,549.8637662337662,487.08690476190475,1036.9506709956709
그린카등수송시스템산업핵심기술개발,120.18333333333332,903.5833333333334,1023.7666666666667
원자력핵심기술개발,202.17499999999998,819.8452380952381,1022.020238095238
소재부품산업미래성장동력(R&D),176.9595238095238,839.5166636666667,1016.4761874761905
이공학학술연구조성,710.0843571428571,290.60238095238094,1000.6867380952381
"창업성장기술개발(일반,R&D)",0.0,999.342841,999.342841
방사광가속기공동이용연구지원(R&D),968.6643578643577,24.449998666666662,993.1143565310244
에너지인력양성(R&D),516.7166666666666,470.22219446263733,986.9388611293039
대구경북과학기술원연구운영비지원(0.5),250.3845238095238,734.5333333333333,984.9178571428571
환경산업선진화기술개발사업,129.117,852.4333333333333,981.5503333333332
건설기술연구,234.95,739.85,974.8
해외우수기관유치,539.8983333333333,426.65,966.5483333333333
한국한의학연구원연구운영비지원,450.95,512.3333333333334,963.2833333333333
중소기업융복합기술개발,10.416666666666666,952.3333333333334,962.75
수산시험연구,532.4833333333333,426.5,958.9833333333333
한국철도기술연구원연구운영비지원,152.0,805.6666666666666,957.6666666666666
바이오산업핵심기술개발(R&D),212.75238095238095,737.581746031746,950.3341269841269
지역특화산업육성(중기부),28.516666666666666,913.4833333333333,942.0
한국기초과학지원연구원연구운영비지원,571.0063650793651,370.5333333333333,941.5396984126984
ICT융합산업원천기술개발(R&D),116.45,816.55,933.0
한국화학연구원연구운영비지원(주요사업비),271.0238095238095,645.8166666666666,916.8404761904761
한국한의학연구원연구운영비지원(R&D)(주요사업비),492.48,423.4166676666667,915.8966676666666
한국화학연구원연구운영비지원(R&D)(주요사업비),225.83333333333331,687.3690476190476,913.202380952381
로봇산업융합핵심기술개발,105.1,798.0666666666667,903.1666666666667
바이오산업기술개발,191.6063492063492,711.2896825396825,902.8960317460317
국토교통기술사업화지원,47.166666666666664,854.3333333333334,901.5
인재활용확산지원,673.7529365079364,225.24682539682536,898.9997619047617
한국생명공학연구원연구운영비지원(주요사업비),417.88860028860023,478.1147369297369,896.0033372183372
사업화연계기술개발(R&D),12.416666666666666,882.0833306666667,894.4999973333333
